title	rating	release_year	popularity
The Godfather 3	1.5	2002	837358
The Dark Knight 3	6.1	2004	994798
Pulp Fiction 3	2.4	2022	367748
The Lord of the Rings: The Return of the King 3	4.6	2009	785248
Forrest Gump 3	6.1	2015	441830
Inception 3	6.4	1998	21873
Fight Club 3	8.0	2004	63735
The Matrix 3	8.6	1983	307843
Goodfellas 3	6.4	1999	753780
The Empire Strikes Back 3	7.7	2023	561150
Interstellar 3	9.8	1989	398516
City of God 3	8.4	1980	424996
Spirited Away 3	9.6	2024	345541
Saving Private Ryan 3	2.6	2009	246603
Parasite 3	4.5	2007	140770
The Green Mile 3	6.8	1992	575473
Se7en 3	2.2	2022	266443
The Silence of the Lambs 3	4.6	1993	454512
Avengers: Endgame 3	2.4	2007	138482
Whiplash 3	1.5	1998	423634
Gladiator 3	8.8	1989	423624
The Prestige 3	7.7	1982	307168
The Departed 3	2.6	2023	737119
Joker 3	1.5	2000	848478
The Lion King 3	2.5	1981	643637
Alien 3	9.9	1995	323131
WALL·E 3	3.2	1994	957142
Oldboy 3	2.8	2011	646657
Coco 3	1.5	2003	868966
The Shining 3	4.4	1986	358873
Braveheart 3	2.2	1981	351916
Once Upon a Time in Hollywood 3	1.3	2020	717596
Avengers: Infinity War 3	4.4	1997	331221
Up 3	5.3	2015	27529
A Beautiful Mind 3	7.0	2005	842365
The Truman Show 3	9.0	2020	482902
Inside Out 3	8.3	2004	238634
The Pianist 3	4.4	1987	70523
Terminator 2: Judgment Day 3	8.0	2009	601213
Back to the Future 3	7.2	2001	731920
Django Unchained 3	3.8	2012	750416
The Wolf of Wall Street 3	3.7	1994	745754
1917 3	3.8	2008	959501
La La Land 3	4.1	1989	724952
Blade Runner 2049 3	9.9	2015	428368
The Big Short 3	7.8	1983	982447
Logan 3	9.7	2008	673522
Black Panther 3	2.6	1991	718063
Knives Out 3	9.8	1998	522467
The Shawshank Redemption 4	5.0	1991	120629
The Godfather 4	1.0	2019	299655
The Dark Knight 4	9.4	1994	879059
Pulp Fiction 4	5.6	2020	897463
The Lord of the Rings: The Return of the King 4	2.3	2024	237402
Forrest Gump 4	6.7	2019	360540
Inception 4	4.9	2002	667380
Fight Club 4	9.9	2013	523260
The Matrix 4	9.1	1980	365233
Goodfellas 4	7.4	2019	556263
The Empire Strikes Back 4	8.7	1991	754596
Interstellar 4	5.9	1992	76963
City of God 4	9.0	2014	811344
Spirited Away 4	8.2	1991	395342
Saving Private Ryan 4	1.7	1988	669431
Parasite 4	2.1	2001	364504
The Green Mile 4	3.1	1991	89096
Se7en 4	9.8	1982	268702
The Silence of the Lambs 4	4.7	2021	196023
Avengers: Endgame 4	6.7	1989	769626
Whiplash 4	3.8	2001	249853
Gladiator 4	9.9	2000	530632
The Prestige 4	4.7	2022	486460
The Departed 4	9.7	1995	886391
Joker 4	5.2	2002	48146
The Lion King 4	3.5	2013	661700
Alien 4	4.6	1992	719981
WALL·E 4	1.2	2024	422627
Oldboy 4	8.6	2008	469235
Coco 4	2.1	2005	661993
The Shining 4	1.4	1998	255619
Braveheart 4	1.4	2015	556333
Once Upon a Time in Hollywood 4	7.2	2000	788878
Avengers: Infinity War 4	5.8	1992	218138
Up 4	7.8	1985	658720
A Beautiful Mind 4	9.8	2020	948377
The Truman Show 4	2.4	2020	848585
Inside Out 4	5.9	1990	192264
The Pianist 4	9.8	2024	496025
Terminator 2: Judgment Day 4	9.7	1981	251599
Back to the Future 4	3.5	2012	223517
Django Unchained 4	8.9	2017	43518
The Wolf of Wall Street 4	8.7	2008	228483
1917 4	2.9	1984	730240
La La Land 4	6.6	2006	892722
Blade Runner 2049 4	9.7	1999	453439
The Big Short 4	1.6	2013	326682
Logan 4	1.3	1983	169593
Black Panther 4	4.3	2001	989857
Knives Out 4	2.9	1981	557450
The Shawshank Redemption 5	6.0	1984	382307
The Godfather 5	7.1	2017	218768
The Dark Knight 5	2.9	2005	539463
Pulp Fiction 5	2.1	2011	857805
The Lord of the Rings: The Return of the King 5	2.3	2019	178556
Forrest Gump 5	6.2	2019	243671
Inception 5	9.9	2011	149795
Fight Club 5	2.9	1989	547359
The Matrix 5	8.1	2005	998278
Goodfellas 5	5.1	2021	996126
The Empire Strikes Back 5	7.0	2008	775199
Interstellar 5	9.3	2022	320037
City of God 5	5.1	2009	630241
Spirited Away 5	6.7	2012	917252
Saving Private Ryan 5	5.0	2011	396031
Parasite 5	6.1	2024	401513
The Green Mile 5	4.9	2019	790299
Se7en 5	2.5	1998	369147
The Silence of the Lambs 5	2.3	2000	699502
Avengers: Endgame 5	2.1	1998	450035
Whiplash 5	3.6	2000	573498
Gladiator 5	3.9	2022	780612
The Prestige 5	6.8	1996	17038
